Total,Lat,Lon
10,25.0800181,121.549212
2,25.0805688,121.5491815
5,25.0810672,121.5503164
9,25.0815233,121.5507883
12,25.0805422,121.5503096
27,25.0814951,121.5503095
8,25.0823576,121.549476
1,25.0827467,121.550013
3,25.083261,121.5503256
2,25.0834299,121.5497345
21,25.0846195,121.5532793
6,25.0861313,121.5555305
5,25.0851924,121.556377
5,25.0853797,121.555738
10,25.0855928,121.5562283
10,25.0498695,121.5526725
1,25.0498582,121.5529938
11,25.0536388,121.5333857
37,25.0309636,121.5479906
27,25.0309711,121.5474756
16,25.0282013,121.5472687
22,25.0267043,121.5473227
19,25.0350711,121.5471911
18,25.0342329,121.5472055
48,25.0309636,121.5479906
11,25.050719,121.590184
6,25.0472331,121.5630308
31,25.0551611,121.5165423
48,25.0570321,121.5155208
6,25.0572481,121.5087846
11,25.0570321,121.5155208
13,25.0589566,121.5461632
16,25.0591248,121.5472575
11,25.0584527,121.5474647
8,25.0586006,121.5505239
10,25.0584926,121.5512564
2,25.0588865,121.5508781
5,25.0589518,121.55162
33,25.0603615,121.5623289
27,25.0597839,121.561472
5,25.0581289,121.567262
25,25.0578543,121.5590111
36,25.0571837,121.5589547
10,25.0596768,121.5575844
42,25.0593323,121.5598011
31,25.0599807,121.5592603
24,25.0580558,121.5252581
27,25.0579434,121.5325398
19,25.0579434,121.5325398
17,25.0579434,121.5325398
82,25.0577102,121.543266
8,25.0584972,121.5448508
44,25.058935,121.5623837
31,25.0594947,121.5567212
26,25.0599479,121.555843
19,25.0573909,121.5570922
19,25.0595564,121.5581865
27,25.059022,121.5537679
3,25.0572197,121.5530257
4,25.0589209,121.5520378
3,25.025483,121.4977661
88,25.0685856,121.5158928
10,25.0694883,121.5122647
3,25.0679301,121.5122486
9,25.0701604,121.5104945
5,25.069102,121.5196282
24,25.0672867,121.5193679
2,25.0676965,121.5171314
2,25.0680596,121.5173019
63,25.0681389,121.5363129
1,25.0668501,121.5374028
37,25.0643982,121.5464689
21,25.0681389,121.5363129
24,25.0681389,121.5363129
21,25.0681389,121.5363129
48,25.0613095,121.5752575
7,25.0572297,121.5106124
27,25.0572297,121.5106124
2,25.0630601,121.5158278
24,25.0615791,121.5176956
7,25.0620233,121.5162535
2,25.0632349,121.5451466
17,25.0628173,121.5464779
18,25.0604568,121.5448915
7,25.0599588,121.5457224
2,25.0594676,121.5457079
36,25.0614356,121.5474433
4,25.0607256,121.5476702
4,25.0610928,121.5496303
10,25.063704,121.5467714
7,25.0633276,121.5472474
1,25.0612393,121.5424023
8,25.0695375,121.5918311
3,25.0696933,121.5928623
2,25.0697053,121.5924089
6,25.0703962,121.5922643
15,25.0676735,121.5877712
24,25.0692128,121.5960474
8,25.0688317,121.5964964
13,25.0687987,121.5970344
13,25.0672081,121.5926904
13,25.0676421,121.5926872
11,25.0672326,121.5934641
11,25.0674657,121.5921075
8,25.0666435,121.5934745
15,25.066729,121.5916754
15,25.0660048,121.5936293
28,25.066658,121.594333
17,25.0667273,121.5950436
17,25.0667273,121.5950436
123,25.0700113,121.5992019
6,25.0683968,121.5974678
13,25.0689101,121.5978393
17,25.0695774,121.5978448
39,25.0662102,121.5956718
4,25.0681067,121.5936376
34,25.0701844,121.5874557
11,25.0669458,121.5982152
49,25.0690003,121.5811822
7,25.0690834,121.5892012
4,25.0665391,121.6004528
8,25.066605,121.6010907
27,25.0673164,121.6017317
40,25.0702325,121.6051844
17,25.0702325,121.6051844
24,25.0698803,121.6056478
8,25.0707625,121.608102
15,25.067552,121.5853042
10,25.0625939,121.5325669
4,25.0625939,121.5325669
5,25.0625939,121.5325669
45,25.062385,121.5439535
37,25.0642907,121.5425583
16,25.062385,121.5439535
25,25.0631778,121.5659147
20,25.0690834,121.5892012
104,25.0690834,121.5892012
29,25.0683293,121.5786685
115,25.0688547,121.5794056
7,25.0677441,121.60072
65,25.0620582,121.5557649
41,25.0620582,121.5557649
38,25.043672,121.5702299
6,25.0469905,121.5703808
5,25.0473635,121.5740445
2,25.043395,121.5748488
8,25.0435354,121.5696134
1,25.0428731,121.5677246
2,25.0462041,121.5755115
44,25.0455687,121.5747841
34,25.0455687,121.5747841
21,25.077805,121.4805888
41,25.1404664,121.5021793
26,25.0293416,121.5082301
32,25.0293416,121.5082301
18,25.024804,121.5200177
6,25.024804,121.5200177
3,25.0161185,121.5307097
6,25.0130079,121.5337687
99,25.0071162,121.5368632
2,25.0091026,121.5372505
7,25.0233549,121.5219367
6,25.024804,121.5200177
