Name,Total,Usage,Lat,Lon
台北市仁愛路4段151巷,3,1,25.0396455,121.55179909999993
台北市仁愛路4段408巷,5,0.8,25.0369297,121.55689810000001
台北市仁愛路4段512巷,2,0,25.0366086,121.56096260000004
台北市仁愛路一段,64,0.52,25.0387565,121.52159359999996
台北市仁愛路二段,45,0.76,25.038317,121.52905499999997
台北市仁愛路三段123巷13弄,11,0.82,25.0398176,121.54303470000002
台北市仁愛路三段A,26,0.85,25.0384018,121.53884040000003
台北市仁愛路三段B,40,0.92,25.0384018,121.53884040000003
台北市仁愛路四段222巷,19,0.89,25.0370575,121.55221719999997
台北市仁愛路四段452巷,27,0.67,25.0368259,121.55920820000006
台北市仁愛路四段A,7,1,25.0378512,121.55081900000005
台北市仁愛路四段B,4,1,25.0379208,121.55358780000006
台北市內江街,31,0.84,25.0415677,121.50352450000003
台北市內湖路1段203巷,28,0.71,25.0840457,121.5635168
台北市內湖路1段217巷,13,1,25.0836952,121.56425300000001
台北市內湖路1段285巷,26,0.85,25.0842133,121.56693259999997
台北市內湖路1段285巷65弄,66,0.65,25.0845017,121.5680231
台北市內湖路1段387巷,33,0.79,25.0831028,121.57051260000003
台北市內湖路1段411巷,66,0.67,25.0837266,121.57179689999998
台北市內湖路1段411巷19弄,28,0.71,25.0824888,121.57184970000003
台北市內湖路1段411巷74弄,17,0.35,25.0841425,121.5713002
台北市內湖路1段47巷,25,0.6,25.0869649,121.55874289999997
台北市內湖路1段47巷22弄,12,0.42,25.0881699,121.55926569999997
台北市內湖路1段47巷6弄,9,0.56,25.0869052,121.55962699999998
台北市內湖路1段629巷,39,0.49,25.081514,121.57552940000005
台北市內湖路1段629巷40弄,8,1,25.0817651,121.57457969999996
台北市內湖路1段667巷,6,0.83,25.080507,121.57607659999996
台北市內湖路1段737巷,35,0.46,25.081533,121.57919600000002
台北市內湖路1段91巷,11,0.82,25.0882537,121.56263390000004
台北市內湖路1段91巷38弄,16,0.81,25.0856126,121.563129
台北市內湖路1段91巷39弄,7,0.29,25.088193,121.5617188
台北市內湖路2段,101,0.53,25.0810743,121.58632050000006
